AvgCost;98995.8;Risk;2944.12
98976.3;;;;2270.93
111646;;;;5161.66
104926;;;;2539.86
104414;;;;2402.93
109032;;;;4002.28
98633.2;;;;2340.05
99074.7;;;;2254.2
94384.2;;;;3701.41
100267;;;;2085.16
95305.9;;;;3338.51
101880;;;;2019.98
96019.3;;;;3073.87
105195;;;;2621.87
92919.3;;;;4331.18
101852;;;;2019.02
96149;;;;3027.18
100092;;;;2107.64
109029;;;;4001.05
101804;;;;2018.05
110856;;;;4787.03
97220.9;;;;2696.61
101789;;;;2017.9
100601;;;;2055.57
111345;;;;5016.91
102052;;;;2028.76
96555.4;;;;2894.32
110075;;;;4434.95
102439;;;;2061.99
106536;;;;3063.9
